code,population,child_proportion,older_person_proportion,median_age,population_density,born_outside_uk_proportion,road_traffic_incidents,employment_rate,median_house_price,median_household_income,apartment_proportion,household_ownership_rate,social_renting_proportion,private_rental_proportion,higher_level_qualification_proportion,crime_rate,open_space_proportion,cars_per_household,pt_access_score,bike_to_work_trips
E05000177,17750,24.7,11.5,33,7120,48.6,6,66.4,249000,30500,51.6,47.6,23.4,24.5,25.8,81.2,26.2,0.9,3.4,130.4
E05000178,14500,21.2,12.6,34,4264.7,50.1,2,72.6,307000,35420,29.4,63.1,9.7,25.1,30.2,74.8,22.6,1.1,2.6,105
E05000179,15750,19.1,14,35,4787.9,53.1,5,71.9,519000,44760,48.2,54.2,4.7,38.1,50.8,60.4,26.7,1,3.7,175.7
E05000180,14300,22.5,12.1,35,6522.7,40.7,2,70.6,386250,36220,36.2,54,25.2,19,33.3,44.2,36.1,0.9,3.1,212.6
E05000181,14100,19.7,12.2,34,9433.3,55.9,1,66.6,285000,32520,12.2,69.4,7.3,21.3,25.4,46.2,19.4,1.3,3,63.7
E05000182,13700,19.6,11.7,36,9133.3,36.2,1,78.6,615000,48480,34,66.3,6.7,25.6,54.8,44.5,25.6,0.9,3.4,342.9
E05000183,14900,20.5,12.9,34,4656.3,51.4,0,72.3,345000,36480,20.2,66.5,8.3,22.9,30.1,51.8,53.3,1.2,2.6,87.2
E05000184,15350,23.4,12.1,34,5482.1,44.1,6,67.3,300000,31950,40.8,53.3,24.2,19.4,25.7,63.3,34.5,0.9,3.2,67.2
E05000185,15200,26,10.2,32,4371.4,41.5,10,61.9,226111,28550,53.1,43,34.5,19.2,21.7,67.5,56.3,0.9,2.5,66.6
E05000186,14200,20.8,11.4,33,3750,50.7,2,57.3,257500,29020,42.2,42.6,34.7,17.7,26.7,91.1,54.5,1.1,2.3,93.9
E05000187,15450,20.6,12.5,34,4573.5,55.4,4,71.4,367500,36040,23.7,62.3,8.5,27,30.8,73.3,38.3,1.1,2.3,188.6
E05000188,16200,20.6,10.8,33,9205.9,50.5,5,68.1,440000,34300,73.2,32.8,33.9,29.2,39.4,88.7,17.5,0.7,4.6,298.3
E05000189,16200,22.7,10,31,9343.8,64.1,8,59.1,250000,27930,24.8,54.6,16.4,24.9,21.9,107.9,14.1,0.9,3.2,54.3
E05000190,15200,23.8,8.9,31,9406.3,63.3,3,59.7,243000,27150,27.6,51.4,13.6,31.5,21.6,83.9,16.3,0.9,3,78.5
E05000191,13600,18.6,11.5,36,9714.3,36.2,1,77.6,780000,50170,51.1,57.1,9.8,31.3,57.8,64.5,14.3,0.8,3.1,471.3
E05000192,13500,19.1,11.5,35,9033.3,38,4,77.3,612500,46240,44.6,56.7,12,28.8,53.7,73.8,20.1,0.8,3.8,375.6
E05000193,14550,18.2,11.3,34,9733.3,47.5,5,71.9,319995,36300,45.5,55.2,10.7,32.1,36.3,50.8,15.3,0.8,3.9,153.1
E05000194,14150,17.6,18.4,40,5720,25.7,3,73,360200,41800,28,78.5,5.2,15.1,32.6,53.9,29.6,1.3,2.7,105.4
E05000195,14000,22.3,13.9,36,834.3,21,5,69.5,324000,36350,37.1,60.4,21.3,15.7,28.1,55.8,81.5,1.1,2,117.4
E05000196,14100,16.1,19.4,39,1370.2,30.5,2,66.9,472000,43570,38.6,68.7,12,17.4,35,46.4,68.8,1.3,2.6,41.2
E05000197,18350,27.1,8.8,30,5951.6,46.8,2,53.8,210000,26010,58.7,29.7,43.1,23,19.5,117.7,33.2,0.6,3.9,73.7
E05000198,16350,24.9,10.9,31,3576.1,34.3,3,60.1,250000,29450,34.6,52.5,24.4,20.7,18.6,82.4,40.6,1,2.5,103.9
